EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,87.233696
23568,DegreeBranch,97.64667
21490,MartialStatus,82.368484
8363,CurrentCompanyType,62.704124
6165,Gender,79.90054
17679,CurrentCompanyType,56.198383
9715,DegreeBranch,84.67698
12591,CurrentCompanyType,60.001778
6140,CurrentCompanyType,64.3088
21018,CurrentCompanyType,58.47463
13221,DegreeBranch,82.20982
23585,YearsOfExperince,85.41838
22575,Ethinicity,83.806244
6078,HighestDegree,85.69845
24125,Gender,82.07725
18073,MartialStatus,57.256958
21420,LatestDegreeCGPA,76.842285
13218,YearsOfExperince,87.41732
8728,CurrentCompanyType,59.295002
21541,MartialStatus,62.689415
12905,YearsOfExperince,94.53424
19873,Gender,86.12115
6947,YearsOfExperince,88.0991
19019,DegreeBranch,82.99867
24372,HighestDegree,62.726173
5298,Gender,84.99475
18306,CurrentCompanyType,68.90222
22877,CurrentCompanyType,57.35328
15511,Gender,81.41568
11889,LatestDegreeCGPA,83.32863
9848,Gender,86.89849
4944,Gender,81.14675
4689,CurrentCompanyType,72.61387
24333,HighestDegree,89.75901
12186,EmpScore,86.700485
2936,DegreeBranch,80.76574
5082,CurrentCompanyType,59.90077
22236,EmpScore,94.76151
19221,HighestDegree,93.845245
20858,CurrentCompanyType,64.56349
16461,CurrentCompanyType,56.268124
22064,CurrentCompanyType,57.77984
3175,DegreeBranch,77.45603
18407,DegreeBranch,81.69248
3684,Gender,83.701324
2198,MartialStatus,57.750465
7540,Gender,82.1498
12700,DegreeBranch,88.70266
17503,DegreeBranch,86.89265
9153,CurrentCompanyType,52.81148
12564,EmpScore,52.828453
16511,Gender,72.49531
16396,CurrentCompanyType,55.438526
6871,HighestDegree,82.47033
9376,YearsOfExperince,86.67531
7865,EmpScore,81.54512
20616,CurrentCompanyType,55.72395
8839,DegreeBranch,79.19488
15788,DegreeBranch,88.993256
10040,Ethinicity,87.30654
6147,CurrentCompanyType,58.349213
24148,EmpScore,80.92281
4187,HighestDegree,56.198826
18097,EmpScore,54.879814
11617,DegreeBranch,84.09027
3642,Gender,82.8342
17990,Ethinicity,88.720055
10677,DegreeBranch,78.005394
2215,DegreeBranch,90.64625
9784,EmpScore,69.99602
13451,YearsOfExperince,78.16148
16266,MartialStatus,81.15624
19313,DegreeBranch,84.947266
16790,Gender,86.51993
21204,HighestDegree,57.372932
24019,LatestDegreeCGPA,56.71236
14539,Gender,80.34127
3123,HighestDegree,79.95566
9647,HighestDegree,81.397606
18930,YearsOfExperince,80.06242
23676,Ethinicity,85.28145
16808,CurrentCompanyType,56.04859
23101,Gender,86.3316
3010,CurrentCompanyType,53.856228
4544,DegreeBranch,75.759315
22861,CurrentCompanyType,63.507366
10897,YearsOfExperince,97.31619
13475,CurrentCompanyType,60.447014
23461,EmpScore,88.359215
19877,Gender,85.3659
10949,CurrentCompanyType,51.190178
13759,Gender,75.27199
9443,YearsOfExperince,76.49801
5606,EmpScore,90.54169
21658,Gender,79.83225
9731,HighestDegree,54.668762
16330,YearsOfExperince,74.44385
18456,Gender,82.10882
22486,Gender,88.25214
4900,Gender,80.039536
12433,Gender,78.46776
10757,DegreeBranch,77.395164
20969,CurrentCompanyType,89.251465
4565,CurrentCompanyType,51.4257
16117,EmpScore,78.216736
22266,Gender,80.72885
23691,DegreeBranch,82.894936
14468,Gender,83.10946
9433,DegreeBranch,89.60137
2730,EmpScore,91.02068
13205,YearsOfExperince,83.998
5829,CurrentCompanyType,57.316933
2418,Gender,82.34257
2634,DegreeBranch,79.115326
2693,Gender,80.66915
22436,Gender,81.3107
8840,Gender,76.632515
4130,YearsOfExperince,75.86456
13577,YearsOfExperince,81.13029
16463,Gender,72.44697
15922,MartialStatus,81.265366
16368,EmpScore,49.55189
18819,DegreeBranch,85.12668
14057,EmpScore,80.182274
12793,DegreeBranch,86.54965
12592,YearsOfExperince,82.25204
18919,Gender,84.85327
20836,DegreeBranch,89.07102
16849,Ethinicity,76.939224
17458,Gender,78.22849
3924,DegreeBranch,92.23884
